,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
20,FF,2023-09-30,95.1,-1.76,5.95,"Blackmon, Charlie",453568,641941,,called_strike,,,,,5,Charlie Blackmon flies out to right fielder Max Kepler.,R,L,R,COL,MIN,S,,,0,0,2023,-0.53,1.26,-0.05,2.62,,,,0,1,Bot,,,,,543877,,,5.686401977558541,-138.4740224523841,-5.981785355992326,-7.989679693035834,27.46197288930943,-14.863772778784089,3.42,1.57,,,,95.7,2571.0,6.3,716368,641941,543877,666135,666397,456781,650489,670242,572191,596146,54.15,,,,,,,,5,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,209.0,0.0,-0.038
21,ST,2023-09-29,78.0,-2.79,4.92,"Blackmon, Charlie",453568,657746,field_out,hit_into_play,,,,,6,"Charlie Blackmon grounds out, second baseman Jorge Polanco to first baseman Donovan Solano.",R,L,R,COL,MIN,X,4.0,ground_ball,1,2,2023,1.09,-0.35,0.45,2.28,,,,2,4,Bot,152.9,148.11,,,680777,,,4.973662141149672,-113.5532839872594,1.812840945957317,8.688494004041694,19.074281099691618,-35.73564072884545,3.49,1.61,49.0,79.5,2.0,78.4,2791.0,6.4,716387,657746,680777,456781,593871,650489,571657,656669,572191,596146,54.12,0.22,0.204,0.0,1.0,0.0,0.0,2.0,39,4,Sweeper,5,4,5,4,4,5,5,4,Strategic,Standard,61.0,-0.011,-0.074
22,ST,2023-09-29,76.6,-2.83,4.89,"Blackmon, Charlie",453568,657746,,ball,,,,,13,"Charlie Blackmon grounds out, second baseman Jorge Polanco to first baseman Donovan Solano.",R,L,R,COL,MIN,B,,,0,2,2023,1.25,-0.11,-2.53,2.47,,,,2,4,Bot,,,,,680777,,,-1.6264321265999184,-111.66015423000428,2.0314809892616505,10.799442294106324,18.25376981865993,-33.60338167239652,3.62,1.6,,,,77.3,2839.0,6.5,716387,657746,680777,456781,593871,650489,571657,656669,572191,596146,54.05,,,,,,,,39,3,Sweeper,5,4,5,4,4,5,5,4,Strategic,Standard,58.0,0.0,0.009
23,FS,2023-09-29,87.2,-2.78,4.78,"Blackmon, Charlie",453568,657746,,foul,,,,,7,"Charlie Blackmon grounds out, second baseman Jorge Polanco to first baseman Donovan Solano.",R,L,R,COL,MIN,S,,,0,1,2023,-0.86,0.39,-0.71,1.72,,,,2,4,Bot,,,,,680777,,,6.813037450863471,-127.05141003442336,-2.126952466350251,-10.598026941424358,21.67865818023568,-27.689474355374458,3.49,1.61,252.0,78.3,45.0,88.6,2014.0,6.7,716387,657746,680777,456781,593871,650489,571657,656669,572191,596146,53.76,,,,,,,,39,2,Split-Finger,5,4,5,4,4,5,5,4,Strategic,Standard,248.0,0.0,-0.023
24,FF,2023-09-29,90.8,-2.59,4.82,"Blackmon, Charlie",453568,657746,,called_strike,,,,,5,"Charlie Blackmon grounds out, second baseman Jorge Polanco to first baseman Donovan Solano.",R,L,R,COL,MIN,S,,,0,0,2023,-0.34,0.78,0.22,2.31,,,,2,4,Bot,,,,,680777,,,7.823525223077518,-132.18683580791392,-2.189816666857197,-5.35035481131944,22.394632386664195,-22.62667004638877,3.55,1.6,,,,92.5,2213.0,6.9,716387,657746,680777,456781,593871,650489,571657,656669,572191,596146,53.65,,,,,,,,39,1,4-Seam Fastball,5,4,5,4,4,5,5,4,Standard,Standard,217.0,0.0,-0.017
25,FF,2023-09-29,91.5,-2.73,4.83,"Blackmon, Charlie",453568,657746,single,hit_into_play,,,,,4,Charlie Blackmon singles on a ground ball to left fielder Jordan Luplow.,R,L,R,COL,MIN,X,7.0,ground_ball,2,0,2023,-0.15,0.85,-0.56,2.79,,,,1,3,Bot,79.14,145.37,,,680777,,,5.847698392890137,-133.32810729086495,-1.2141927581129814,-2.9180216877541483,23.86186633977329,-21.87736261770893,3.49,1.61,10.0,84.2,-15.0,92.7,2244.0,6.6,716387,657746,680777,456781,593871,650489,571657,656669,572191,596146,53.92,0.089,0.083,0.9,1.0,1.0,0.0,2.0,25,3,4-Seam Fastball,1,4,1,4,4,1,1,4,Infield shade,Standard,217.0,0.026,0.197
26,FS,2023-09-29,86.1,-2.71,4.91,"Blackmon, Charlie",453568,657746,,ball,,,,,11,Charlie Blackmon singles on a ground ball to left fielder Jordan Luplow.,R,L,R,COL,MIN,B,,,1,0,2023,-0.73,0.4,-0.99,3.39,,,,1,3,Bot,,,,,680777,,,5.605735627453226,-125.434883120327,1.741225659202486,-8.705385202993595,20.648549061504266,-28.399615493535677,3.57,1.61,,,,87.4,1953.0,6.6,716387,657746,680777,456781,593871,650489,571657,656669,572191,596146,53.87,,,,,,,,25,2,Split-Finger,1,4,1,4,4,1,1,4,Standard,Standard,240.0,0.0,0.042
27,FF,2023-09-29,92.5,-2.65,4.85,"Blackmon, Charlie",453568,657746,,ball,,,,,11,Charlie Blackmon singles on a ground ball to left fielder Jordan Luplow.,R,L,R,COL,MIN,B,,,0,0,2023,-0.22,0.82,-0.74,4.09,,,,1,3,Bot,,,,,680777,,,5.39898710702026,-134.88309682767428,1.97669685068367,-3.683099416939484,23.259642730756635,-22.557167246092323,3.55,1.6,,,,93.8,2237.0,6.5,716387,657746,680777,456781,593871,650489,571657,656669,572191,596146,53.99,,,,,,,,25,1,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,222.0,0.0,0.025
28,ST,2023-09-29,86.1,-1.9,5.54,"Blackmon, Charlie",453568,592779,strikeout,swinging_strike,,,,,13,Charlie Blackmon strikes out swinging.,R,L,R,COL,MIN,S,2.0,,1,2,2023,0.72,0.25,-0.64,1.12,656248.0,676701.0,686668.0,1,6,Bot,,,,,680777,,,1.5299596268167146,-125.36819641691848,-4.695253456446126,7.2096761761715475,27.45210643055545,-28.75536835431273,3.49,1.61,,,,85.7,2560.0,6.2,716387,592779,680777,666135,456781,650489,571657,656669,572191,596146,54.34,,,0.0,1.0,0.0,0.0,,56,6,Sweeper,6,4,6,4,4,6,6,4,Standard,Standard,76.0,-0.039,-0.549
29,FF,2023-09-29,96.3,-1.94,5.5,"Blackmon, Charlie",453568,592779,,foul,,,,,1,Charlie Blackmon strikes out swinging.,R,L,R,COL,MIN,S,,,1,2,2023,-0.42,0.88,-0.62,3.47,656248.0,676701.0,686668.0,1,6,Bot,,,,,680777,,,4.485754034334929,-140.34415866017957,-1.8957555862906803,-6.523023619172146,26.83249750860008,-20.2657825058086,3.49,1.61,293.0,81.5,40.0,97.0,2578.0,6.2,716387,592779,680777,666135,456781,650489,571657,656669,572191,596146,54.26,,,,,,,,56,5,4-Seam Fastball,6,4,6,4,4,6,6,4,Standard,Standard,222.0,0.0,0.0
30,FF,2023-09-29,96.9,-1.81,5.52,"Blackmon, Charlie",453568,592779,,foul,,,,,1,Charlie Blackmon strikes out swinging.,R,L,R,COL,MIN,S,,,1,2,2023,-0.42,1.02,-0.32,3.27,656248.0,676701.0,686668.0,1,6,Bot,,,,,680777,,,4.916595870059278,-141.20764451807383,-2.9117440963081407,-6.571726261010471,26.110187231828032,-17.895977583753446,3.49,1.61,142.0,72.6,70.0,97.5,2573.0,6.1,716387,592779,680777,666135,456781,650489,571657,656669,572191,596146,54.38,,,,,,,,56,4,4-Seam Fastball,6,4,6,4,4,6,6,4,Standard,Standard,228.0,0.0,0.0
